I,SoC,SoH,timestamp,DSoC,DQ
10.0,0.40569651842535165,0.6996861412796124,13.862499999999999,-0.0009022804570039962,9.679068068406542e-8
10.0,0.4047942379683476,0.6996860444889317,13.866666666666667,-0.0009022805818204625,9.679093614193759e-8
10.0,0.40389195738652717,0.6996859476979955,13.870833333333334,-0.0009022807066372927,9.679119134095816e-8
10.0,0.4029896766798899,0.6996858509068041,13.875,-0.0009022808314544868,9.679144628135897e-8
10.0,0.4020873958484354,0.6996857541153578,13.879166666666666,-0.0009022809562720441,9.679170097169768e-8
10.0,0.40118511489216335,0.6996856573236568,13.883333333333333,-0.0009022810810899643,9.679195540387819e-8
10.0,0.4002828338110734,0.6996855605317014,13.8875,-0.000902281205908247,9.679220957813026e-8
10.0,0.39938055260516514,0.6996854637394918,13.891666666666666,-0.0009022813307268922,9.67924634946827e-8
10.0,0.39847827127443824,0.6996853669470283,13.895833333333334,-0.0009022814555458992,9.679271714543768e-8
10.0,0.39757598981889236,0.6996852701543111,13.9,-0.0009022815803652679,9.679297056393154e-8
10.0,0.3966737082385271,0.6996851733613406,13.904166666666667,-0.000902281705184998,9.679322370875598e-8
10.0,0.39577142653334213,0.699685076568117,13.908333333333333,-0.0009022818300050889,9.67934765967924e-8
10.0,0.39486914470333706,0.6996849797746404,13.9125,-0.0009022819548255404,9.679372923659426e-8
10.0,0.3939668627485115,0.6996848829809111,13.916666666666666,-0.0009022820796463526,9.679398162006016e-8
10.0,0.3930645806688651,0.6996847861869295,13.920833333333333,-0.0009022822044675245,9.679423375574291e-8
10.0,0.3921622984643976,0.6996846893926958,13.924999999999999,-0.000902282329289056,9.679448561888486e-8
10.0,0.3912600161351085,0.6996845925982101,13.929166666666667,-0.0009022824541109472,9.679473724301984e-8
10.0,0.3903577336809976,0.6996844958034729,13.933333333333334,-0.0009022825789331971,9.67949886117162e-8
10.0,0.38945545110206437,0.6996843990084843,13.9375,-0.0009022827037558059,9.679523971686997e-8
10.0,0.38855316839830856,0.6996843022132446,13.941666666666666,-0.0009022828285787728,9.679549058368545e-8
10.0,0.38765088556972976,0.699684205417754,13.945833333333333,-0.0009022829534020981,9.679574117907489e-8
10.0,0.38674860261632765,0.6996841086220128,13.95,-0.0009022830782257808,9.679599152824231e-8
10.0,0.3858463195381019,0.6996840118260212,13.954166666666666,-0.0009022832030498209,9.679624163140802e-8
10.0,0.3849440363350521,0.6996839150297797,13.958333333333334,-0.0009022833278742182,9.679649147213775e-8
10.0,0.38404175300717786,0.6996838182332882,13.9625,-0.0009022834526989721,9.679674106730565e-8
10.0,0.38313946955447886,0.6996837214365471,13.966666666666667,-0.0009022835775240825,9.679699040880373e-8
10.0,0.3822371859769548,0.6996836246395567,13.970833333333333,-0.0009022837023495489,9.679723949685054e-8
10.0,0.3813349022746052,0.6996835278423172,13.975,-0.000902283827175371,9.679748833166394e-8
10.0,0.3804326184474298,0.6996834310448289,13.979166666666666,-0.0009022839520015488,9.679773691346192e-8
10.0,0.3795303344954283,0.699683334247092,13.983333333333333,-0.0009022840768280815,9.679798525078853e-8
10.0,0.3786280504186002,0.6996832374491067,13.987499999999999,-0.0009022842016549689,9.679823332720534e-8
10.0,0.37772576621694526,0.6996831406508733,13.991666666666667,-0.000902284326482211,9.67984811595835e-8
10.0,0.37682348189046305,0.6996830438523922,13.995833333333334,-0.000902284451309807,9.679872874813907e-8
10.0,0.37592119743915325,0.6996829470536635,14.0,-0.0009022845761377568,9.67989760681024e-8
10.0,0.3750189128630155,0.6996828502546875,14.004166666666666,-0.00090228470096606,9.679922314467204e-8
10.0,0.37411662816204944,0.6996827534554643,14.008333333333333,-0.0009022848257947168,9.679946997806217e-8
10.0,0.3732143433362547,0.6996826566559943,14.0125,-0.0009022849506237261,9.679971655182945e-8
10.0,0.372312058385631,0.6996825598562777,14.016666666666666,-0.000902285075453088,9.679996287451542e-8
10.0,0.3714097733101779,0.6996824630563149,14.020833333333334,-0.000902285200282802,9.680020897131655e-8
10.0,0.3705074881098951,0.6996823662561059,14.025,-0.000902285325112868,9.680045478414721e-8
10.0,0.3696052027847822,0.6996822694556512,14.029166666666667,-0.0009022854499432855,9.680070037151672e-8
10.0,0.3687029173348389,0.6996821726549508,14.033333333333333,-0.0009022855747740543,9.680094570032215e-8
10.0,0.36780063176006483,0.6996820758540051,14.0375,-0.0009022856996051738,9.680119078743134e-8
10.0,0.3668983460604597,0.6996819790528143,14.041666666666666,-0.000902285824436644,9.680143561639661e-8
10.0,0.36599606023602305,0.6996818822513786,14.045833333333333,-0.0009022859492684647,9.680168020408458e-8
10.0,0.3650937742867546,0.6996817854496984,14.049999999999999,-0.0009022860741006352,9.680192454237531e-8
10.0,0.36419148821265396,0.6996816886477738,14.054166666666667,-0.0009022861989331553,9.680216863147723e-8
10.0,0.3632892020137208,0.6996815918456052,14.058333333333334,-0.0009022863237660248,9.680241247992673e-8
10.0,0.36238691568995474,0.6996814950431927,14.0625,-0.0009022864485992432,9.680265606294522e-8
10.0,0.3614846292413555,0.6996813982405365,14.066666666666666,-0.0009022865734328104,9.680289942238314e-8
10.0,0.36058234266792266,0.6996813014376371,14.070833333333333,-0.000902286698266726,9.680314251680307e-8
